en	te
టామ్ హలో చెప్పాలనుకుంటున్నాడు.	Tom wants to say hello.
S. P. B వివిధ భాషలలో 40,000 పాటలు పాడారు మరియు అతని కాలంలోని అత్యంత బహుముఖ మరియు ప్రసిద్ధ గాయకులలో ఒకరు.	S. P. B sang over 40,000 songs in various languages and was one of the most versatile and popular singers of his time.
టామ్ నన్ను అడిగినట్లు నేను చేసాను.	I did what Tom asked me to do.
టామ్ ఇప్పటికీ te త్సాహిక వ్యక్తి.	Tom is still an amateur.
నష్టం భీమా పరిధిలోకి వచ్చింది.	The damage was covered by insurance.
నేను చాలా ఏడుస్తాను.	I used to cry a lot.
మీ కొడుకు పేరు ఏమిటి?	What's your son's name?
మీరు నిజంగా నా గురించి కలలు కన్నారా?	Did you really dream about me?
టామ్ తన కారులో దిగి వెళ్ళిపోయాడు.	Tom got in his car and left.
టామ్ మాంసం మీద ఉంచే మసాలా మిరియాలు మాత్రమే.	The only spice Tom puts on meat is pepper.
టామ్ తెలివితక్కువవాడు, చెస్ ఆటకు మేరీని సవాలు చేసేవాడు.	Tom was stupid enough to challenge Mary to a game of chess.
నేను దీనికి వ్యతిరేకం అని మీరు ఏమనుకుంటున్నారు?	What makes you think that I'm against that?
అధ్యక్షుడు మన్రో బానిస యజమాని.	President Monroe was a slave-owner.
నేను అందరినీ కోల్పోతాను.	I'll miss everyone.
అతను విచిత్రమైన వ్యక్తి.	He's a weird guy.
టామ్ స్తంభించిపోయాడు.	Tom's paralyzed.
ఏ గొడుగు మీది?	Which umbrella is yours?
ఆమె కారు నడపడం నేర్చుకుంటుంది.	She is learning how to drive a car.
రేపు వర్షం పడవచ్చు.	It may rain tomorrow.
మీ తల్లి పుట్టినరోజు కోసం మీరు ఏమి కొనాలనుకుంటున్నారు?	What would you like to buy your mother for her birthday?
అది మనకు ఎందుకు జరగాలి?	Why did that have to happen to us?
టామ్ ఇప్పటికీ నియమాలను నేర్చుకుంటున్నాడు.	Tom is still learning the rules.
నేను ఇంకా ఏమీ సాధించలేదు.	I haven't accomplished anything yet.
టామ్ మేరీకి సహాయం చేయడానికి నిరాకరించాడు.	Tom refused to help Mary.
ప్రతి ఆరు గంటలకు నా medicine షధం తీసుకోవాలి.	I have to take my medicine every six hours.
నాకు మంచి సమయం వచ్చింది.	I had a good time.
టామ్ నిజంగా అలాంటిదే చేస్తాడా అని నేను ఆశ్చర్యపోతున్నాను.	I wonder if Tom would really do something like that.
గంట ఉంది.	There's the bell.
నేను మీ హృదయాన్ని విచ్ఛిన్నం చేయాలనుకోవడం లేదు.	I don't want to break your heart.
వారు సాధారణ ప్రయోజనాలతో కట్టుబడి ఉంటారు.	They are bound together by common interests.
టామ్ మ్యాప్‌ను టేబుల్‌పై ఉంచాడు.	Tom put the map on the table.
మేము భద్రత కోసం కలిసి ఉంచాము.	We kept together for safety.
ఇది నిజం కాదని నేను ఎక్కడో చదివాను.	I've read somewhere that it's not true.
టామ్ వారు చెప్పినవన్నీ విన్నారు.	Tom heard everything they said.
టామ్ మరణం మర్మమైనది.	Tom's death was mysterious.
ఈ సంవత్సరం వరి పంట పేలవంగా ఉంది.	The rice crop is poor this year.
నేను మీ కాల్‌ను ఆశిస్తున్నాను.	I've been expecting your call.
ఇది ఎనభై మీటర్ల పొడవు.	It was eighty meters long.
టామ్ మీకు అలా చేయమని చెప్పాడా?	Was Tom the one who told you to do that?
సాహిత్యం తనకు అర్థం కాని భాషలో ఉన్నప్పటికీ టామ్ ఈ పాటను ఇష్టపడ్డాడు.	Tom loved the song even though the lyrics were in a language he didn't understand.
టామ్ మాత్రమే కూర్చోలేదు.	Tom was the only one not sitting.
టామ్ చెప్పిన దేన్నీ మీరు నమ్మకూడదు.	You shouldn't trust anything Tom says.
దీని గురించి ఎంత మందికి తెలుసు?	How many people know about this?
చెత్త మన వెనుక ఉంది.	The worst is behind us.
రాముడు రావణుడిని చంపాడు.	ram kills ravana.
రజనీకాంత్ తమిళం, తెలుగు, హిందీ, కన్నడ మరియు ఇతర భారతీయ భాషల చిత్రాలలో పనిచేసిన ప్రముఖ భారతీయ నటుడు.	Rajinikanth is a popular Indian actor who has worked in Tamil, Telugu, Hindi, Kannada, and other Indian languages films.
నేను తలుపు మూసాను.	I closed the door.
ఈ మధ్యాహ్నం నాకు ఏమీ లేదు.	I have nothing to do this afternoon.
దీని కాపీని మీరు కలిగి ఉండాలని నేను కోరుకుంటున్నాను.	I want you to have a copy of this.
నేను ఈ ఆటను ద్వేషిస్తున్నాను.	I hate this game.
నేను ఈ ఆపిల్ల ఒకటి తింటే సరేనా?	Is it OK if I eat one of these apples?
మీ పని గురించి మాట్లాడుకుందాం.	Let's talk about your work.
ఎయిర్ కండీషనర్ పనిచేయదు.	The air conditioner doesn't work.
నేను మీ అపార్ట్మెంట్ను ఇష్టపడుతున్నాను.	I like your apartment.
దయచేసి రెస్టారెంట్ ఎక్కడ ఉందో చెప్పగలరా?	Can you please tell me where the restaurant is?
మీకు ఎప్పుడూ బాయ్‌ఫ్రెండ్ లేరు, లేదా?	You've never had a boyfriend, have you?
మీరు వాటిని చూశారు, లేదా?	You saw them, didn't you?
మేము చాలా కాఫీ తాగాము.	We drank a lot of coffee.
నా తల్లిదండ్రులు నన్ను డేటింగ్ చేయనివ్వరు.	My parents won't let me date.
నేను భోజనప్రియుడిని కాదు.	I am not a foodie.
నాకు లేఖ మెయిల్ చేయడం గుర్తులేదు.	I don't remember mailing the letter.
టామ్ మేరీకి తన కాలు మీద ఉన్న మచ్చను చూపించాడు.	Tom showed Mary the scar on his leg.
నేను చాలా అపరాధభావంతో ఉన్నాను.	I feel very guilty.
టామ్ మరియు మేరీ ఒకరినొకరు అర్థం చేసుకున్నారు.	Tom and Mary understood each other.
నేను ఈ రోజు 8 గంటలకు లేచాను.	I got up at 8 o'clock today.
ఆ విండో తెరుచుకుంటుందా?	Does that window open?
టామ్ మొదటివాడు అని నాకు తెలుసు.	I know that Tom was first.
దయచేసి దీన్ని రహస్యంగా ఉంచండి.	Please keep this a secret.
తన ఎడమ కాలు బాధిస్తుందని టామ్ చెప్పాడు.	Tom says his left leg hurts.
నా తండ్రి నాకు గుర్రాన్ని కొనాలని యోచిస్తున్నట్లు చెప్పారు.	My father says he's planning to buy me a horse.
టామ్ ఆస్ట్రేలియా వెళ్ళాలని యోచిస్తున్నాడని మీకు తెలియదా?	Didn't you know that Tom was planning to go to Australia?
ఉచిత పుస్తకాలు అందుబాటులో ఉన్నాయి	Free books available
రాజుకు అడవులు అంటే చాలా ఇష్టం	King loves forestation.
మీకు చలి అనిపించలేదా?	Don't you feel cold?
టామ్ మరియు మేరీ విడాకులు తీసుకోవాలని యోచిస్తున్నారు.	Tom and Mary are planning to get a divorce.
వారు రాకెట్ పంపబోతున్నారు.	They are going to send up a rocket.
టామ్ మనం చేయవలసిన పనుల జాబితాను వ్రాశాడు.	Tom has written down a list of things we need to do.
ఇది నా దృష్టిని ఆకర్షించింది.	It caught my eye.
ఈ సమావేశంలో మేరీ లేడని టామ్ చెప్పారు.	Tom says Mary wasn't at the meeting.
మేము దానిని ఎప్పుడు ఉపయోగించబోతున్నాం?	When are we going to use it?
ఈ వీధికి మరొక పేరు ఉండేది.	This street used to have another name.
మీరు ఆ సిగరెట్ బయట పెట్టాలని నేను కోరుకుంటున్నాను.	I want you to put out that cigarette.
మీరు అక్కడ ఉండబోతున్నారని నాకు తెలియదు.	I didn't know you were going to be there.
టామ్ బహుశా ఇప్పటికీ దాక్కున్నాడు.	Tom is probably still hiding.
మనల్ని మనం మోసం చేసుకోనివ్వండి.	Let's not fool ourselves.
టామ్ తన డెబ్బైలలో మరణించాడు.	Tom died in his seventies.
పార్టీ తొమ్మిదికి ముగిసింది.	The party finished at nine.
టామ్ ఇంతకు ముందెన్నడూ కారు నడపలేదు.	Tom has never driven a car before.
టామ్ ఒక పడవ కొనడానికి భరించలేడు.	Tom can't afford to buy a yacht.
మీరు ఉచితంగా పొందగలిగినప్పుడు ఎందుకు చెల్లించాలి?	Why pay when you can get it for free?
అంటార్కిటికాలో అనేక నౌకలు సముద్రపు మంచులో చిక్కుకున్నాయి.	Several ships are stuck in sea ice in Antarctica.
మేము కొంచెం ముందుగానే ఉన్నాము.	We're a little early.
ఆ మనిషి చనిపోయాడు.	That man is dead.
టామ్ ఉద్యోగాల మధ్య ఉన్నాడు.	Tom is between jobs.
టామ్ దానిని నాకు వివరించాల్సిన అవసరం లేదు.	Tom didn't need to explain it to me.
ఈ బృందంలో నలుగురు యువకులు ఉన్నారు.	The group was made up of four young men.
సంవత్సరానికి ఎన్నిసార్లు మీరు స్కీయింగ్‌కు వెళతారు?	How many times a year do you go skiing?
టామ్ మరియు మేరీ ఒంటరిగా ఉన్నారు.	Tom and Mary left alone.
ప్రజలు ఏమనుకుంటున్నారో నేను పట్టించుకోను.	I don't care what people think.
తిమింగలాలు చిన్న చేపలను తింటాయి.	Whales feed on small fish.
నేను సహాయం చేసాను.	I helped.
నేను త్వరలో తిరిగి పిలుస్తాను.	I'll call back soon.
తెల్లవారేముందు ఎప్పుడూ చీకటిగానే ఉంటుంది.	It's always darkest before the dawn.
టామ్ ఇంకా తన పేరును కూడా వ్రాయలేడు.	Tom can't even write his own name yet.
టామ్ ఎందుకు వెళ్ళలేడు?	Why can't Tom leave?
టామ్ నా మంచి విద్యార్థులలో ఒకడు.	Tom was one of my better students.
ఆమె దిగుమతి చేసుకున్న కారును నడుపుతుంది.	She drives an imported car.
టామ్ నేను అతని కోసం అలా చేయాలనుకున్నాను.	Tom wanted me to do that for him.
మిమ్మల్ని ఎవరూ బాధపెట్టనివ్వను.	I won't let anybody hurt you.
ఇది ఉన్నత స్థాయి గృహాలు, రెస్టారెంట్లు మరియు షాపింగ్ కేంద్రాలకు ప్రసిద్ధి చెందిన ప్రధాన నివాస ప్రాంతం.	It is a prime residential area that is known for its upscale homes, restaurants, and shopping centers.
మీరు ఇప్పటికే దాని గురించి మరచిపోయారు.	You've probably forgotten about it already.
మీరు వేచి ఉండలేరని నాకు తెలుసు.	I know you can't wait.
టామ్ తన బ్లాక్ సూట్ మరియు వైట్ టై ధరించాడు.	Tom put on his black suit and white tie.
మీరు ఇప్పటివరకు చేసిన ఉత్తమ కచేరీ ఏమిటి?	What is the best concert you've ever been to?
నేను కాలేజీ నుండి తప్పుకొని ఉద్యోగం పొందవలసి వచ్చింది.	I had to drop out of college and get a job.
టామ్ చాలా అరుదుగా ఇంట్లోనే ఉంటాడు.	Tom is seldom home.
అది సరిపోతుందా?	Is that enough?
టామ్ రోడ్డు దాటడానికి ముందు రెండు మార్గాలు చూశాడు.	Tom looked both ways before crossing the road.
మీరు ఒక గ్లాసు నీరు కావాలనుకుంటున్నారా?	Would you like a glass of water?
పేద అమ్మాయి అంధురాలైంది.	The poor girl went blind.
తెలుగును ఇటాలియన్ ఆఫ్ ది ఈస్ట్ అని పిలుస్తారు.	Telugu is known as italian of the east.
విక్రయించబడింది	Sold
మా కోసం పనిచేయడానికి మీకు ఇంకా ఆసక్తి ఉందా?	Are you still interested in working for us?
ఇది ఇప్పుడు ఉంది.	It's there now.
మీరు నమ్మినా, చేయకపోయినా, నేను మీరు చేసినంత మాత్రాన ఈ విషయాన్ని పొందాలనుకుంటున్నాను.	Whether you believe it or not, I want to get this thing over with as much as you do.
టామ్ ఎక్కడ ఉన్నారో మీరు నాకు చెప్పగలరా?	Could you tell me where Tom is?
మేము చనిపోయామని టామ్ భావిస్తాడు.	Tom thinks we're dead.
నిన్న నువ్వు ఎక్కడ ఉన్నావు?	Where were you yesterday?
మేము ఆపిల్ల తింటున్నాము.	We were eating apples.
టామ్ మీరు బిజీగా ఉన్నారని చెప్పారు.	Tom said you were busy.
టామ్ చిరాకు గొంతులో మా వైపు అరిచాడు.	Tom shouted at us in a gruff voice.
నా గోప్యతకు నేను విలువ ఇస్తున్నాను.	I value my privacy.
పురుషులందరూ టామ్ మాదిరిగానే దుస్తులు ధరించారు.	All of the men were dressed similarly to Tom.
మొక్కలు	plants
ఆమె అంచనాలు నిజమయ్యాయి.	Her predictions have come true.
దాన్ని ఆపివేయండి.	Turn it off.
ఇంకా ఏమి చేయాలో నేను చూస్తాను.	I'll see what else needs to be done.
వారు కలిసి ప్రయాణించారు.	They traveled together.
టామ్ నా కోసం పని చేయలేదు.	Tom wasn't working for me.
టామ్ నేను అతనికి సహాయం చేయాలనుకున్నాను.	Tom wanted me to help him.
దీనికి కొంత సమయం పడుతుంది.	This will take some time.
గదిలోకి ప్రవేశించినప్పుడు టామ్ నవ్వలేదు.	Tom wasn't smiling when he entered the room.
అమ్మాయి	girl
టామ్ ఇంట్లో ఉన్నట్లు నాకు తెలియదు.	I didn't know Tom was at home.
మీరు ముఖాలను గుర్తుంచుకోవడంలో మంచివా?	Are you good at remembering faces?
టామ్ బంతిని గట్టిగా కొట్టాడు, అతను బ్యాట్ను విభజించాడు.	Tom hit the ball so hard he split the bat.
నేను చాలా ఉత్సాహంగా ఉన్నాను.	I was very excited.
ఇది మీకు కష్టమని నాకు తెలుసు.	I knew this would be hard for you.
నా తాతకు బూడిద జుట్టు ఉంది.	My grandfather has gray hair.
టామ్ మరియు మేరీ కలిసి పనిచేయలేదా?	Don't Tom and Mary work together?
నా మనస్సులో విషయాలు ఉన్నాయి.	I have things on my mind.
టామ్ నన్ను మేరీతో కలిసి ఉండనివ్వండి.	Tom let me stay with Mary.
మీరు త్వరగా కోలుకున్నారు.	You recovered quickly.
సునీల్ అంతిమ హాస్యనటుడు.	Sunil is an ultimate comedian.
మీరు ఏమి చేయాలనుకుంటున్నారు?	What are you planning on doing?
మీకు ఎన్ని ఆంగ్ల పదాలు తెలుసు?	How many English words do you know?
ఇవన్నీ మీరు ఇంతకు ముందు ఎందుకు నాకు చెప్పలేదు?	Why didn't you tell me all this before?
అది విచిత్రంగా అనిపించింది.	That sounded weird.
టామ్‌ను కలవడం నాకు చాలా అనుభవం.	Meeting Tom was quite an experience for me.
టామ్కు ఏమి చేయాలో ఖచ్చితంగా తెలియదు.	Tom had absolutely no idea what to do.
శ్రేయా ఘోషల్ చాలా ప్రజాదరణ పొందిన మరియు ప్రతిభావంతులైన భారతీయ నేపథ్య గాయని.	Shreya Ghoshal is a very popular and talented Indian playback singer.
ఇది పొరపాటు.	It's likely a mistake.
నేను వేచి ఉండాలని టామ్ కి చెప్పాను.	I told Tom you'd wait.
టామ్ దీనిని అంతం చేయాలనుకుంటున్నాడు.	Tom wants to end this.
తెలుగు వ్యాకరణం	telugu grammer
నేను సలహా ఇవ్వవచ్చా?	Can I offer a suggestion?
నేను ఎక్కడ సైన్ అప్ చేయాలి?	Where do I sign up?
మీరు మరేదైనా చేస్తున్నారా?	Do you do anything else?
అవి ఆకుపచ్చగా ఉన్నాయి.	They're green.
నాకు సంగీతానికి చెవి లేదు.	It's a pity that I have no ear for music.
పార్క్ చేయడానికి మరెక్కడా లేదు.	There isn't anywhere else to park.
టామ్ మేరీని సందర్శించాడు.	Tom visited Mary.
టామ్ ఇరుక్కుపోయాడు.	Tom is stuck.
మీరు నా పాదాల మీద నిలబడి ఉన్నారు.	You're standing on my foot.
టామ్ విషపూరితమైన ఏదో తిన్నందున అతని కడుపు పంప్ చేయటానికి వారు ఆసుపత్రికి తీసుకువెళ్లారు.	They took Tom to the hospital to have his stomach pumped because he ate something poisonous.
మీరు అద్భుతమైన రచయిత.	You're an excellent writer.
మేము మీపై ఏమీ ఆరోపణలు చేయడం లేదు.	We're not accusing you of anything.
నేను రాత్రి సమయంలో మూడుసార్లు మేల్కొన్నాను.	I woke up three times during the night.
మీరు నాతో ఎందుకు మాట్లాడాలనుకున్నారు?	Why did you want to speak to me?
టామ్ తన తలుపులు లాక్ చేశాడు.	Tom locked his doors.
నేను బాగున్నాను.	I think I feel better.
అది ఏమిటి?	What can it be?
నేను వివాహం చేసుకోవాలనుకున్న అమ్మాయి వేరొకరిని వివాహం చేసుకుంది.	The girl I wanted to marry married somebody else.
ఇప్పుడు తినడానికి తగినంత సమయం లేదు.	There's not enough time to eat now.
వారిలో ఎంతమంది ప్రాణాలతో బయటపడ్డారో తెలియదు.	It's not known how many of them survived.
నేను కుక్కను చూస్తాను.	I see the dog.
అతను తరచుగా అనారోగ్యానికి గురవుతాడు.	He often gets sick.
మా రైలు సమయానికి వచ్చింది.	Our train arrived on time.
టామ్ వద్ద చాలా పుస్తకాలు లేవు.	Tom doesn't have many books.
సాక్షి ఉందని మీరు మాకు ఎందుకు చెప్పలేదు?	Why didn't you tell us there was a witness?
నేను క్యోటో, మరియు నారాలను కూడా సందర్శించాలని ఆలోచిస్తున్నాను.	I am planning to visit Kyoto, and Nara as well.
దొంగ ఈ తలుపు ద్వారా ఇంట్లోకి వచ్చాడు.	The burglar came into the house through this door.
టామ్ వదిలి వెళ్ళడం ఇష్టం లేదు.	Tom doesn't want to leave.
ప్రజలు దీనిని ఉపయోగిస్తారని నేను అనుకుంటున్నాను.	I do think people will use it.
ఆయన మరణం మన దేశానికి ఎంతో నష్టమే.	His death was a great loss to our country.
అందరూ ఇంకా ఇక్కడ ఉన్నారని నేను అనుకోను.	I don't think that everyone is here yet.
మీకు నాణ్యత కావాలంటే, దాని కోసం చెల్లించండి.	If you want quality, pay for it.
నీరు మంచు చల్లగా ఉంది.	The water was ice cold.
నాలో ఏమి జరుగుతుందో నేను పట్టించుకోను.	I don't care what will become of me.
బంస్ లాగా దుస్తులు ధరించవద్దు.	Don't come dressed like bums.
దాని కోసం వారి మాటను తీసుకోకండి.	Don't take their word for it.
భారతీయుడు	Indian
మేము ఒక్కసారి కలిసి చేపలు పట్టడానికి వెళ్తాము.	We go fishing together once in a while.
టామ్‌కు పోటీ నచ్చలేదు.	Tom doesn't like competition.
మేరీ ఏమి చేయాలో టామ్కు తెలియదు.	Tom didn't know what Mary needed to do.
అందుబాటులో ఉంది	Available
భోజనానికి బయటికి వెళ్లడం ఎలా?	How about going out for lunch?
అతని కాళ్ళు పొడవుగా ఉన్నాయి.	His legs are long.
మేము మధ్యాహ్నం అంతా ఇక్కడే ఉండబోతున్నాం.	We're going to be here all afternoon.
టామ్‌కు నియమాలు తెలుసు.	Tom knows the rules.
రెండు సమాధానాలు రెండూ సరైనవి.	The two answers are both correct.
టామ్ తన సూట్‌కేస్‌ను తీసుకెళ్లమని అడిగాడు.	Tom asked me to carry his suitcase.
నాకు తేనె అంటే ఇష్టం.	I like honey.
టామ్ ఇప్పుడు ఎక్కువగా తినడం.	Tom is most likely eating now.
నేను వేరే ఏమీ తినలేదు.	I didn't eat anything else.
మేము టామ్‌కు సహాయం చేస్తున్నాము.	We've been helping Tom.
నన్ను రక్షించడం ఆపు.	Stop protecting me.
మేరీ పాత పనిమనిషిగా ఉండటానికి ఇష్టపడదు.	Mary doesn't want to end up being an old maid.
ఇది ఏమిటి?	What do you think this is?
ఆసియా యూరప్ కంటే నాలుగు రెట్లు ఎక్కువ.	Asia is roughly four times the size of Europe.
టామ్ తనకు బాగా ఈత కొట్టడం తెలియదని చెప్పాడు.	Tom said he didn't know how to swim very well.
నేను దీనికి అర్హుడని నాకు తెలుసు.	I know I deserve this.
మాకు ఉమ్మడిగా ఏమీ లేదు.	We have nothing in common.
టామ్ ఎంత డబ్బు సంపాదించాడని మీరు అనుకుంటున్నారు?	How much money do you think Tom makes?
మీరు అతన్ని మోసంతో తప్పించుకోకూడదు.	You shouldn't let him get away with cheating.
నేను నా వేలు కత్తిరించాను.	I have cut my finger.
మీరు ఇక్కడ ఒంటరిగా నివసిస్తున్నారు, లేదా?	You live here alone, don't you?
టామ్ హాట్ బ్లడెడ్ వ్యక్తి.	Tom is a hot-blooded individual.
అతను ఉదయం ఎనిమిది గంటలకు లేచాడు.	He got up at eight in the morning.
సమాధానం కనుగొనడం అసాధ్యం.	It was impossible to find an answer.
ఆమెతో హవాయికి వెళ్లడాన్ని నేను ఎప్పటికీ మర్చిపోలేను.	I'll never forget going to Hawaii with her.
అతను తిరిగి రాగానే బయలుదేరదాం.	Let's leave as soon as he gets back.
మేమిద్దరం కలిసి బడికి వెళ్తాం.	We go to school together.
మీ పని నాకు చాలా ఇష్టం.	I like your work.
మీకు తెలిసిన భాషలు ఏమిటి?	What are the languages do you know?
బెంచ్ మీద కూర్చుందాం.	Let's sit down on the bench.
ఆమె అతనికి ఒక గడియారం ఇచ్చింది.	She gave him a clock.
టామ్ మరియు నేను ప్రతి ఉదయం కలిసి పాఠశాలకు నడుస్తాము.	Tom and I walk to school together every morning.
మీరు టామ్‌ను వివాహం చేసుకోవాలి.	You should marry Tom.
ఇది వాడుకలో లేదు.	It's obsolete.
టామ్‌కు అధిక జ్వరం ఉంది.	Tom has a high fever.
నేను మీకు భారం అవుతాను అని భయపడుతున్నాను.	I'm afraid I'll be a burden to you.
ఏమి జరిగిందో మేము సిద్ధంగా లేము.	We weren't prepared for what happened.
అతను తన మాటలోని వ్యక్తి.	He is a man of his word.
ఈ కుర్చీ తీసుకోండి.	Take this chair. It's sturdy.
నేను బాగా అలసిపోయాను	i am very tired
టామ్ కేక్ తింటున్నాడు.	Tom is eating a cake.
టామ్ మాట్లాడుతూ మేరీ మరియు నేను దానిని మనమే చేయగలమా అని ఆలోచిస్తున్నానని చెప్పాడు.	Tom said he wondered if Mary and I'd be able to do that by ourselves.
ఇది ఎలా అనిపిస్తుందో నాకు తెలుసు.	I know how it feels.
నేను చెప్పినట్లు గుర్తు.	I remember saying that.
టామ్ చిన్నతనంలో బోస్టన్‌లో నివసించాడు.	Tom lived in Boston when he was a child.
టామ్ ఇసుకతో ట్రక్కును ఎక్కించాడు.	Tom loaded the truck with sand.
టామ్, మీ వయస్సు ఎంత?	How old are you, Tom?
మేము ప్రతిచోటా మీ కోసం వెతుకుతున్నాము.	We've been looking for you everywhere.
ఎవరూ ఆమెను ప్రోత్సహించలేదు.	No one encouraged her.
త్వరలోనే చాలా కష్టపడి వర్షం పడటం ప్రారంభమైంది.	It soon began to rain very hard.
ఆమె చెప్పేది నమ్మవద్దని ఆయన నాకు సలహా ఇచ్చారు.	He advised me not to believe what she says.
టామ్ మాత్రమే అలా చేయగలడు, నేను అనుకుంటున్నాను.	Tom is the only person who can do that, I think.
దయచేసి దాని గురించి ఏదైనా చేయండి.	Please do something about it.
అది ఒక అనుభవం.	That was an experience.
డాక్టర్ అతని పల్స్ తీసుకున్నాడు.	The doctor took his pulse.
మీరు టామ్‌కు సందేశం ఇవ్వాలనుకుంటున్నాను.	I want you to give a message to Tom.
మీరు మాతో వెళ్లాలని అనుకోరని నాకు తెలుసు.	I knew you wouldn't want to go with us.
అతను ఎనిమిదేళ్ళ వయసులో తల్లిదండ్రులను విడిచిపెట్టాడు.	He left his parents when he was eight years old.
టామ్ మేరీని చంపాడని నేను అనుకోను.	I don't think Tom killed Mary.
టామ్ ఈ రోజు గెలవలేడు.	Tom will unlikely win today.
నన్ను కలవడానికి ఎవరైనా స్టేషన్‌లో ఉంటారా?	Will anybody be at the station to meet me?
నేను కొన్ని మార్పులు చేయాలనుకుంటున్నాను.	I want to make some changes.
టామ్ ఇక్కడే ఉంటానని చెప్పిన సమయం మీకు గుర్తుందా?	Do you remember what time Tom said he'd be here?
టామ్ యొక్క రోజులు లెక్కించబడ్డాయి.	Tom's days are numbered.
టామ్ నిన్న బిజీగా ఉన్నాడని నేను అనుకోను.	I don't think that Tom was busy yesterday.
దురదృష్టవశాత్తు, అది నిజం.	Unfortunately, that's true.
మేము ఏమి ఆలోచిస్తున్నాము?	What were we thinking?
మీరు ఎక్కడ ఉన్నారు?	Where are you located?
టామ్ అతను స్కూల్లో ఉన్నానని చెప్పాడు.	Tom told me that he was at school.
టామ్ ఈ మధ్యాహ్నం నన్ను పిలిచాడు.	Tom called me this afternoon.
మళ్ళీ అలా ప్రయత్నించండి.	Try doing that again.
నేను మేరీకి సహాయం చేయాల్సిన అవసరం ఉందని టామ్ భావిస్తాడు.	Tom thinks I need to help Mary.
ఇది అనివార్యం, కాదా?	It was inevitable, wasn't it?
టామ్ మేరీకి సహాయం చేయగలడని ఆశతో ఉన్నాడు.	Tom was hoping that he could help Mary.
టామ్ ఒక ఆదర్శప్రాయమైన పని చేస్తున్నాడు.	Tom is doing an exemplary job.
నేను సన్యాసిని.	I am a monk.
మీకు ఇప్పుడు ఇది అవసరమా?	Do you need it now?
టామ్ మనం ఏమి చేయాలనుకుంటున్నాడో అది చేద్దాం.	Let's do what Tom wants us to do.
టామ్ దాని గురించి ఏమి చెప్పబోతున్నాడు?	What's Tom going to say about that?
నేను నేలమాళిగలో ఉంటాను.	I'll be in the basement.
గుంటూరుకు గొప్ప సాంస్కృతిక వారసత్వం మరియు పురాతన కాలం నాటి సుదీర్ఘ చరిత్ర ఉంది.	Guntur has a rich cultural heritage and a long history dating back to the ancient times.
నేను విదేశీ కరెన్సీని ఎక్కడ మార్పిడి చేసుకోగలను?	Where can I exchange foreign currency?
టామ్ అధికారికంగా పదవీ విరమణ పొందారా?	Has Tom officially retired?
మీరు ఎర్ర మాంసం రోజుకు ఒకటి కంటే ఎక్కువసార్లు తినకూడదని విన్నాను.	I've heard that you shouldn't eat red meat more than once a day.
మీ భద్రత మా ఆందోళన కాదు.	Your safety isn't our concern.
టామ్ మేరీని లైఫ్ ప్రిజర్వర్‌గా విసిరాడు.	Tom threw Mary a life preserver.
నా డిప్లొమా రాకముందే నాన్న చనిపోయాడు.	My father died before I got my diploma.
టామ్ తన సూట్‌కేస్‌ను ప్యాక్ చేయడం ప్రారంభించాడు.	Tom started packing his suitcase.
టామ్ ఒక ప్రసిద్ధ గాయకుడికి పది వేల డాలర్లు ఇచ్చి హ్యాపీ బర్త్ డే పాడటానికి రెస్టారెంట్‌కు వచ్చాడు.	Tom gave a famous singer ten thousand dollars to come to the restaurant to sing Happy Birthday.
వేసవిని ఎక్కడ గడపాలని మీరు ప్లాన్ చేస్తున్నారు?	Where do you plan to spend the summer?
నేను నిజంగా దాని గురించి ఆలోచించడం ఇష్టం లేదు.	I don't really want to think about it.
స్థానిక ఇల్లు	Native house
టామ్ ఫ్రెంచ్‌లో నాకు హాయ్ చెప్పాడు.	Tom said hi to me in French.
నాకు డెజర్ట్‌లు తయారు చేయడం చాలా ఇష్టం.	I love making desserts.
టామ్ గత వారాంతంలో కాస్ట్యూమ్ పార్టీకి వెళ్ళాడు.	Tom went to a costume party last weekend.
టామ్ మరియు నేను భయపడము.	Tom and I aren't afraid.
మేఘావృతం, వర్షం, ఎండ	Cloudy, rainy,sunny
టామ్ అతను అక్కడికి ఎలా వెళ్ళాలో ప్లాన్ చేయలేదు.	Tom didn't say how he planned to get there.
టామ్ నాకు అసూయ ఉందని తెలుసు.	Tom knew I was jealous.
టీ చాలా రుచికరమైనది.	The tea is very tasty.
ఇక్కడ ఏదైనా పెరుగుతుందా అనేది సందేహమే.	It's doubtful that anything will grow here.
కంటికి పరిచయం చేయవద్దు.	Don't make eye contact.
అది నాకు కూడా జరగలేదు.	That didn't even occur to me.
కృష్ణుడు దుర్యోధనుడి క్రూరత్వం గురించి పాండవులకు చెప్పాడు.	Krishna tells the Pandavas about the cruelty of Duryodhana.
టామ్ మరియు మేరీ ఇద్దరూ సరైనవారు.	Tom and Mary are both right.
టామ్ భయంకరంగా కనిపిస్తాడు.	Tom looks dreadful.
బహుశా వారు వస్తారు మరియు వారు రాకపోవచ్చు.	Maybe they will come and maybe they won't.
నాకు కామెడీలు చాలా ఇష్టం.	I love comedies.
ఏమి జరిగిందో నేను నిజంగా క్షమించండి.	I'm really sorry about what happened.
అతను ఎప్పుడూ ముందు వరుసలో ఒక సీటు తీసుకున్నాడు.	He always took a seat in the front row.
